pubyear,earlyyear,n,r,effectid,studyid,attitude,paradigm,fake,figure,obvious,subtle,transformed,es,var
58,61,73,-0.11,111,11,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,-0.1104,0.014285714
47,46,74,0.29,211,21,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2986,0.014084507
7,10,580,0.25,311,31,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2554,0.001733102
7,10,580,0.49,312,31,3,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.5361,0.001733102
16,19,60,-0.21,411,41,0,p35,54.35416667,42.64583333,39.39583333,54.53472222,0,-0.2132,0.01754386
16,19,60,-0.1,412,41,3,p35,54.35416667,42.64583333,39.39583333,54.53472222,0,-0.1003,0.01754386
64,67,80,0.05,511,51,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.0500,0.012987013
59,62,136,0.39,612,61,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.4118,0.007518797
59,62,136,0.2,613,61,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.2027,0.007518797
59,62,86,0.09,614,61,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.0902,0.012048193
59,62,81,0.14,622,62,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.1409,0.012820513
59,62,81,0.01,623,62,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.0100,0.012820513
59,62,40,0.05,632,63,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.0500,0.027027027
59,62,40,0.24,633,63,0,p5,67.6875,55.33333333,42.6875,44.76388889,0,0.2448,0.027027027
59,62,1655,0.23,711,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.2342,0.000605327
59,62,1655,0.28,712,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.2877,0.000605327
59,62,1655,0.35,713,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.3654,0.000605327
59,62,1655,0.25,714,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.2554,0.000605327
59,62,1655,0.33,715,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.3428,0.000605327
59,62,1655,0.39,716,71,1,p4,74.6824187,74.09730691,55.61077236,31.86983401,0,0.4118,0.000605327
62,63,82,0.29,911,91,3,p17,57,44.93181818,44.68181818,51.12878788,0,0.2986,0.012658228
23,22,161,0.68,1011,101,3,p6,74.95,66.25,46.95,37.28333333,1,0.8308,0.06667783
23,22,153,0.26,1012,101,0,p6,74.95,66.25,46.95,37.28333333,1,0.2645,0.01987579
23,22,101,0.49,1013,101,0,p6,74.95,66.25,46.95,37.28333333,1,0.5369,0.03512193
0,3,50,0.11,1111,111,2,p35,54.35416667,42.64583333,39.39583333,54.53472222,0,0.1104,0.021276596
57,60,177,0.08,1211,121,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,0.0802,0.005747126
57,60,177,0.01,1212,121,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,0.0100,0.005747126
57,60,265,0.21,1221,122,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,0.2132,0.003816794
57,60,265,-0.06,1222,122,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,-0.0601,0.003816794
57,60,320,0.02,1241,124,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,0.0200,0.003154574
57,60,320,-0.02,1242,124,2,p11,52.62790698,39.34883721,40.39534884,55.87596899,0,-0.0200,0.003154574
50,53,82,0.21,1311,131,0,p12,68.5952381,56.11904762,56.5,39.5952381,1,0.2088,0.01931887
43,46,260,0.18,1411,141,2,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1820,0.003891051
43,46,260,0.22,1412,141,2,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2237,0.003891051
43,46,260,0.08,1413,141,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.0802,0.003891051
43,46,260,-0.02,1414,141,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,-0.0200,0.003891051
