effectid,paper,attitude,behavior,participant_race,target_race
111,"Aberson, Porter, & Gaffney (2008)","semantic differential (beautiful-ugly, good-bad, nice-awful, etc.) of preferring whites over blacks (white - black difference score)",self-reported number of white friends minus number of black friends,hispanic/latino,blacks
211,Alreshoud & Koeske (1997),"stereotypes (honest, friendly, respects authority)",self-reported voluntary contact with whites,arab,americans
311,Bastide & van den Berghe (1957),stereotypes,self-reported past behaviors,white brazilians,black brazilians
312,Bastide & van den Berghe (1957),hypothetical behavior (intended behavior),self-reported past behaviors,white brazilians,black brazilians
411,Berg (1966),"Adorno's E-Scale, Negro subscale (beliefs, stereotypes, policies)",distance from black confederates autokinetic judgment,white,black
412,Berg (1966),"social distance scale (hypothetical behavior, behavioral intentions)",distance from black confederates autokinetic judgment,white,black
511,"Bernard, McManus, & Saucier (2014)",RAS (do they agree with conclusions about blacks),money allocation to BSU,white,black
612,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass pro black attitudes (beliefs),funding allocation to BSU,white,black
613,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass anti black attitudes (beliefs),funding allocation to BSU,white,black
614,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)","percentage of whites with positive traits minus perentage of blacks (stereotype difference score, higher score more bias in favor of whites)",funding allocation to BSU,white,black
622,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass pro black attitudes (beliefs),funding allocation to BSU,white,black
623,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass anti black attitudes (beliefs),funding allocation to BSU,white,black
632,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass pro black attitudes (beliefs),funding allocation to BSU,white,black
633,"Biernat, Collins, Katzarska-Miller, & Thompson (2009)",katz and hass anti black attitudes (beliefs),funding allocation to BSU,white,black
711,Binder et al. (2009),anxiety about being only ingroup member in a situation,number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
712,Binder et al. (2009),"negative emotions felt toward outgroup (angry, irritated, etc.)",number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
713,Binder et al. (2009),"social distance (would they like to be teachers, neighbors, etc.)",number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
714,Binder et al. (2009),anxiety about being only ingroup member in a situation,number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
715,Binder et al. (2009),"negative emotions felt toward outgroup (angry, irritated, etc.)",number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
716,Binder et al. (2009),"social distance (would they like to be teachers, neighbors, etc.)",number of ethnic outgroup friends and time spent with them,"ethnic ingroup (most of the sample was an ethnic majority, but some was ethnic minority)",ethnic outgroup
911,"Boag (2010), Boag & Carnelley (2012)",how much they would prefer a non-Muslim roommate over a Muslim roommate (they say its behavioral intentions),seating distance,non-Muslim (92% White),Muslim
1011,Brannon et al. (1973),"if they would support referendum on open housing (e.g., making racial discrimination illegal)",signing petition to support open housing,non-Blacks,black
1012,Brannon et al. (1973),belief that problems arise when black people move in,signing petition to support open housing,non-Blacks,black
1013,Brannon et al. (1973),stereotypes,signing petition to support open housing,non-Blacks,black
1111,Bray (1950),"beliefs about political rights of blacks and what people should do. There's a few behavioral intentions, but mostly beliefs about what to do about blacks and polices. See likert (1932)",conformity to black confederate in autokinetic effect judgments,white,black
1211,Brazy (2007),ATB--mainly stereotypes and beliefs,Effort in anagram task that helps black person,white,black
1212,Brazy (2007),ATB--mainly stereotypes and beliefs,"Amount of time spent on helping black ""participant""",white,black
1221,Brazy (2007),ATB--mainly stereotypes and beliefs,Effort in anagram task that helps black person,white,black
1222,Brazy (2007),ATB--mainly stereotypes and beliefs,"Amount of time spent on helping black ""participant""",white,black
