citation,include,comment
Aberson et al. (2008) ,1,number of friends is voluntary contact
Alreshoud & Koeske (1997) ,1,voluntary contact
Bastide & van den Berghe (1957) ,1,Maybe--I think actual behavior is actual past-reported behavior
Berg (1966) ,1,conforming to black confederate is behavior
"Bernard, McManus, & Saucier (2014) ",1,consequential--appendix a instructions says administration wants to know
Biernat et al. (2009) ,1,"they mention HZ&E, who make allocation consequential"
Binder et al. (2009) ,1,voluntary contact
Blair et al. (2013) ,1,target's perspective of the behavior--it counts
"Boag (2010), Boag & Carnelley (2012)",1,consequential
Brannon et al. (1973) ,1,behavioral intentions and then measuring that behavior
Bray (1950) ,1,conforming to black confederate is behavior
Brazy (2007) ,1,"helping is consequential, because it has to do with extra credit"
Brief et al. (2000) ,1,"""actual"" in Study 1, although hypothetical in Study 2"
Brigham (1993) ,1,voluntary contact
Bushman & Bonacci (2004) ,1,forwarding email is consequential
Butler & Wilson (1978) ,1,racial contact 2 is voluntary
"Butz, Klik, & Plant (2014) ",1,study 2 has prejudice and meaningful behavior
Christ et al. (2010) ,1,voluntary contact
DeFleur & Westie (1958) ,1,attitude and commitment to future behavior
DeFriese & Ford (1969) ,1,signing document is behavior in this case
Dijker (1987) ,1,some of the contact items are voluntary
Dovidio et al. (1997) ,1,"not 1 and 2, but study 3 has interaction behaviors"
"Dovidio, Kawakami, & Gaertner (2002) ",1,observers' and confederates' perceptions
Echebarria-Echabe & Guede (2007) ,1,returning the form was behavior
Ewens & Ehrlich (1972) ,1,"they sign, give info to be contacted by civil rights group--consequential"
Feldman & Donohoe (1978) ,1,perceptions of nonverbal behaviors is consequential
Fendrich (1967a) ,1,consequential commitment to behavior--were held accountable
Fendrich (1967b) ,1,consequential commitment to behavior--were held accountable
Gaertner (1975) ,1,helping behavior
Gaertner et al. (1982) ,1,helping behavior 
Gallego & Pardos-Prado (2014) ,1,friends are voluntary
Genther & Taylor (1973) ,1,aggressive behavior in study 2
"Goff, Steele, & Davies (2008) ",1,seating distance
Gonsalkorale et al. (2009) ,1,interracial partner ratings
Green (1972) ,1,"agreeing to commit to future behavior, being held accountable"
Greitemeyer & Schwab (2014) ,1,taking leaflets is helping
Hagiwara et al. (2013) ,1,participants' perceptions is the target's perception
"Heider (2005), Heider & Skowronski (2007)",1,use dissertation
Himelstein & Moore (1963) ,1,conforming to black confederate is behavior
"Ho, Thomsen, & Sidanius (2009) ",1,actual teacher evaluations
Hofmann et al. (2008) ,1,coding of interaction
Holmes (2013) ,1,participants thought they were making real decision
Howitt & McCabe (1978),1,returning letter was behavior
"Hraba, Brinkman, & Gray-Ray (1996) ",1,"explicitly calls it voluntary contact, and I agree"
Jackman & Crane (1986) ,1,black friends is voluntary contact
"Jacoby-Senghor, Sinclair, & Shelton (2016) ",1,anxious behavior of the participant is behavior
"Jacoby-Senghor, Sinclair, & Smith (2015) ",1,"IFFY, we need to see if they have first-order Black friends. Also: does second-order Black friends count? Feels too far removed to be a measure of behavior to me"
Jome (2000) ,1,majority of social contact was voluntary
Kamenetzky et al. (1956) ,1,signing petition was consequential
"Katz, Cohen, & Glass (1975) ",1,actual helping behavior
Kenrick (2014) ,1,"study 5 measured time 1 explicit prejudice as well as interaction coding--need to e-mail, though"
Kirkhoff (1996) ,1,study 2 reward is behavior for Iraqis
"Lee, Gibbons, Thompson, & Timani (2009) ",1,"having friends is voluntary contact, table 2"
Lightbourn (2000) ,1,"most of the contact is voluntary contact, table 11"
Linn (1965) ,1,signed agreement is consequential and ps are held accountable
MacInnis & Hodson (2012) ,1,measures behavioral intention and then immediately that behavior
Malof & Lott (1962) ,1,"IFFY, again: We WILL include this if conforming to a racial outgroup member is behavior"
McConnell & Leibold (2001) ,1,interracial behavior--confederate and observer ratings
Meeusen (2014) ,1,"friends are voluntary--""immigrants"" is broad, but it is one category. Ps likely to think about same target when filling out"
Montgomery & Enzie (1973) ,1,"IFFY, again: We WILL include this if conforming to a racial outgroup member is behavior"
Neel & Shapiro (2012) ,1,interaction behavior in Study 4
Penner et al. (2010) ,1,black patients' perceptions of doctors as function of their attitudes
Pettigrew (1997) ,1,can use friends subscale as voluntary contact
Philip et al. (2010) ,1,black friends and MRS
Phillips (2012) ,1,study 1--students' opinions about allocation were ostensibly consequential from the participant's point of view; interaction in study 2
"Pittinsky, Rosenthal, & Montoya (2011) ",1,study 1 has charity allocation
Plant & Devine (2003) ,1,study 2 has anxiety in interacting with blacks and whether or not they showed up to interact with a black person
Plant & Devine (2009) ,1,reduction of prejudice effort
Raden (1973) ,1,"intensity of shock is behavior, table 5"
Richeson & Shelton (2003) ,1,interaction behavior
Saenger & Gilbert (1950) ,1,actual shopping behavior
Saucier & Miller (2003) ,1,study 7 has helping behavior
Schnake (1998) ,1,"they are role playing, but it is in a REAL situation"
"Sechrist (2000), Sechrist & Stangor (2001) ",1,study 2 is the chair between black woman confederate
Sechrist & Milford (2007) ,1,actual helping behavior
Sekaquaptewa et al. (2003) ,1,interracial interaction
