start,end,time_inst,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p5_1,p5_2,p5_3,p6_1,p6_2,p6_3,p7_1,p7_2,p7_3,p8_1,p8_2,p8_3,p9_1,p9_2,p9_3,p10_1,p10_2,p10_3,p11_1,p11_2,p11_3,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p17_1,p17_2,p17_3,p18_1,p18_2,p18_3,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p21_1,p21_2,p21_3,p22_1,p22_2,p22_3,p23_1,p23_2,p23_3,p24_1,p24_2,p24_3,p25_1,p25_2,p25_3,p26_1,p26_2,p26_3,p27_1,p27_2,p27_3,p28_1,p28_2,p28_3,p29_1,p29_2,p29_3,p30_1,p30_2,p30_3,p31_1,p31_2,p31_3,p32_1,p32_2,p32_3,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_1,p35_2,p35_3,p36_1,p36_2,p36_3,p37_1,p37_2,p37_3,p38_1,p38_2,p38_3,p39_1,p39_2,p39_3,p40_1,p40_2,p40_3
5/24/17 20:50,5/24/17 20:52,30.012,,,,44,64,54,,,,,,,,,,,,,,,,,,,,,,,,,53,35,46,,,,,,,,,,68,52,39,,,,,,,,,,,,,29,75,57,,,,,,,39,68,53,34,69,55,,,,,,,,,,,,,35,62,51,,,,,,,63,30,48,40,61,50,,,,,,,,,,,,,,,,66,43,31
5/24/17 20:50,5/24/17 20:54,22.675,100,100,73,,,,100,82,60,,,,,,,40,70,20,100,100,100,,,,61,72,38,,,,83,100,49,,,,,,,20,100,18,,,,,,,,,,,,,,,,,,,71,83,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,20,,,,,,,,,,61,100,51,,,,,,,,,,,,
5/24/17 20:50,5/24/17 20:55,45.047,,,,,,,,,,83,79,11,,,,,,,,,,87,100,2,,,,,,,,,,,,,,,,1,54,1,,,,7,8,76,,,,,,,,,,,,,,,,6,7,6,,,,,,,,,,,,,20,83,11,,,,,,,,,,9,86,8,,,,,,,,,,50,80,65,100,99,4,,,,1,3,23,,,
5/24/17 20:50,5/24/17 20:56,31.14,32,26,7,,,,100,77,27,,,,,,,,,,100,49,94,,,,51,49,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,58,49,,,,,,,,,,,,,76,68,1,,,,,,,,,,,,,,,,,,,,,,71,72,15,,,,59,46,6,38,55,27,5,6,1,,,
5/24/17 20:53,5/24/17 20:56,64.194,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,62,58,65,,,,,,,41,35,31,,,,,,,65,61,65,,,,,,,51,54,48,,,,,,,,,,,,,,,,43,42,49,,,,,,,,,,75,64,70,,,,,,,43,62,46,,,,66,96,70,,,,,,,62,48,54,,,,,,
5/24/17 20:52,5/24/17 20:59,21.627,,,,,,,,,,8,51,20,,,,,,,,,,50,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,29,84,10,16,20,,,,14,61,20,,,,16,71,17,,,,20,21,14,,,,13,27,20,,,,,,,,,,,,,29,83,20,,,,,,,8,8,17,,,
5/24/17 21:02,5/24/17 21:03,22.015,47,57,49,64,48,57,64,50,41,,,,60,52,58,,,,54,45,57,,,,,,,,,,,,,64,59,60,,,,56,48,57,,,,,,,,,,,,,,,,45,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,34,42,,,,54,64,61,,,,,,,,,,,,,,,,,,
5/24/17 21:24,5/24/17 21:27,27.806,,,,98,99,98,,,,,,,,,,,,,,,,,,,,,,51,51,53,37,49,37,,,,,,,,,,,,,,,,,,,99,100,99,,,,66,56,48,1,1,1,,,,,,,67,51,78,51,51,51,,,,,,,,,,45,34,30,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/17 21:23,5/24/17 21:27,198.023,74,59,82,,,,25,55,42,,,,,,,,,,,,,,,,,,,,,,50,77,62,,,,54,63,44,,,,,,,,,,26,37,19,86,48,67,,,,,,,44,71,57,,,,,,,43,58,53,,,,,,,,,,,,,,,,,,,,,,,,,48,77,64,,,,,,,,,,,,,62,93,75,,,
5/24/17 21:25,5/24/17 21:31,75.657,,,,,,,,,,,,,62,79,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,62,25,,,,,,,,,,,,,,,,,,,20,33,70,30,65,60,,,,10,11,3,,,,,,,52,43,41,85,55,75,,,,,,,,,,,,,30,50,31,42,70,19,,,,,,,,,,34,61,71
5/24/17 21:27,5/24/17 21:31,177.853,16,80,49,,,,,,,,,,,,,19,67,40,53,70,57,,,,,,,79,37,53,38,18,39,,,,,,,,,,70,39,51,,,,,,,,,,,,,,,,15,62,42,,,,,,,,,,,,,,,,,,,65,38,88,,,,,,,,,,,,,,,,,,,,,,36,65,25,38,64,17,,,,,,
5/24/17 21:26,5/24/17 21:32,27.735,,,,,,,,,,,,,,,,,,,63,71,61,,,,,,,,,,,,,,,,,,,,,,,,,73,65,65,,,,,,,,,,64,60,71,,,,,,,,,,,,,,,,61,71,72,,,,77,67,74,,,,69,54,64,60,73,58,,,,,,,,,,,,,70,64,67,68,42,58,62,54,63,,,
5/24/17 21:28,5/24/17 21:32,23.306,,,,82,92,5,,,,,,,,,,,,,,,,,,,79,91,8,,,,,,,12,11,4,,,,8,28,5,,,,,,,,,,,,,19,78,4,,,,,,,,,,,,,,,,18,8,3,,,,,,,,,,91,74,70,,,,,,,,,,73,58,29,24,11,7,,,,,,,,,,,,,90,51,75
5/24/17 21:27,5/24/17 21:36,150.4,,,,,,,100,100,100,82,96,91,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,,,,,,,9,66,3,,,,,,,18,49,37,,,,,,,61,66,46,29,84,67,,,,,,,,,,84,96,100,,,,,,,,,,71,73,64,,,,,,,,,,,,
5/24/17 21:43,5/24/17 21:52,34.781,,,,,,,,,,68,98,46,,,,,,,,,,9,89,20,91,71,56,,,,,,,35,71,33,,,,,,,,,,,,,,,,2,42,31,0,9,0,,,,51,44,5,,,,,,,,,,,,,,,,,,,35,47,5,,,,,,,99,99,71,,,,,,,,,,,,,100,100,56,,,,,,,,,
5/24/17 21:47,5/24/17 21:53,22.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,53,30,76,81,56,,,,14,21,12,,,,,,,,,,,,,7,13,55,,,,14,7,11,20,43,53,,,,,,,,,,,,,,,,,,,,,,,,,90,52,39,58,96,14,,,,86,88,89,25,57,6,,,
5/24/17 21:56,5/24/17 21:59,22.757,84,85,87,,,,89,75,74,,,,66,68,62,,,,70,70,64,,,,,,,52,57,56,69,57,68,,,,,,,,,,,,,,,,,,,,,,,,,58,59,58,,,,,,,,,,,,,,,,36,59,37,,,,,,,,,,,,,,,,,,,45,44,35,,,,,,,,,,,,,,,,58,57,57
5/24/17 21:56,5/24/17 21:59,23.347,,,,87,100,10,,,,,,,94,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,72,18,83,100,0,0,100,0,,,,1,100,1,,,,,,,,,,,,,,,,,,,,,,0,100,1,59,82,26,,,,0,100,0,,,,,,,,,,,,,88,100,0,,,,,,,,,,,,
5/24/17 21:59,5/24/17 22:00,38.876,,,,,,,50,11,36,46,51,48,,,,,,,,,,,,,,,,,,,,,,,,,52,34,61,37,53,45,,,,,,,45,53,27,,,,33,33,39,35,50,50,38,26,72,,,,,,,,,,,,,,,,,,,,,,42,30,48,,,,,,,,,,,,,,,,,,,,,,,,,45,29,55,,,
