paradigm,fake,figure,obvious,subtlety,description
p1,69.29166667,69.14583333,52.41666667,36.38194444,"The participant is directly asked and writes down how many friends and close others they have of the other race. The fewer people that the participant writes down, the more negative the behavior is considered to be. "
p10,53.47727273,45.54545455,40.79545455,53.39393939,Participants are called on the phone and asked to take part in a survey. The people conducting this survey are an organization whose members are of the other race and supports people of that race. Not agreeing to take part in this survey is considered a negative behavior.
p11,52.62790698,39.34883721,40.39534884,55.87596899,"Participants are paired with a partner of the opposite race over the Internet. They are both given word scramble games to do, and told that they would get an extra prize for doing well. The participant decides how much time and effort they dedicate helping their partner of the other race earn points in the word scramble game. The less time and effort they dedicate, the more negative the behavior is considered to be."
p12,68.5952381,56.11904762,56.5,39.5952381,"Researchers gave a list of job applicants to the participants—some are of the same race as the participant and some are of the other race. Participants chose which applicants to bring in for an interview, and researchers counted up how many people of the other race they picked. The fewer people of the other race that participants chose, the more negative the behavior is considered to be."
p13,42.36585366,32.46341463,33.65853659,63.83739837,"Participants receive an e-mail or letter that was accidentally sent to them instead of a person of the other race, and the message seems to be an important one. Not replying to this e-mail or letter telling the sender that they got the wrong person is considered to be a negative behavior."
p14,58.40909091,42.36363636,39.65909091,53.18939394,"Researchers told participants that a student of the other race needed help passing out leaflets. Participants chose how many leaflets they wanted to pass out for this person of the other race. The fewer leaflets they chose to hand out, the more negative the behavior is considered to be."
p15,58.15555556,35.46666667,35.68888889,56.8962963,"A person of the other race drops a stack of papers, and researchers observe and record if and how much the participant helps pick up the person of the other race's papers. The less the participant helps, the more negative the behavior is considered to be."
p16,59.88095238,49.76190476,43.19047619,49.05555556,"Participants were partnered with a member of the other race. The participant had the job of assigning tasks for this other race partner to do. Some tasks helped the partner earn money (called ""valuable tasks""), and some did not. The fewer “valuable tasks” the participant gave their partner, the more negative the behavior was considered to be."
p17,57,44.93181818,44.68181818,51.12878788,"The researcher leads a participant into a room where there is a chair with a person's belongings next to it. The participant is lead to believe that someone of the other race is sitting there, and this person will be right back. The participant is asked to sit down. The researcher measures how far the participant chooses to sit from the person of the other race. The further the participant sits from the person of the other race, the more negative the behavior is considered to be."
p18,37.45,23.8,19.45,73.1,"The participant sits down and has a conversation with someone of the other race. The researcher observes this interaction and counts how many times the participant blinks. The more the participant blinks, the more negative their behavior is considered to be."
p19,56.61904762,48.92857143,52.76190476,47.23015873,"The participant sits down and has a conversation with someone of the other race. The researcher observes this interaction and records the amount of time the participant looked at and made eye contact with the person of the other race. The more the participant gazed away from their partner, the more negative the behavior was considered to be."
p2,80.07317073,79.04878049,58.80487805,27.35772358,"The participant is directly asked and writes down how often they spend time with people of the other race. The less time that the participant writes down, the more negative the behavior is considered to be."
p20,39.45454545,30.75,26.75,67.68181818,"The participant sits down and has a conversation with someone of the other race. The researcher observes this interaction and indicates how much participants moved their arms and hands around to emphasize what they were saying. The less participants used their hands to emphasize what they were saying, the more negative the behavior was considered to be."
p21,46.4,41.68,44.48,55.81333333,"The participant sits down and has a conversation with someone of the other race. The researcher observes this interaction and indicates how much the participant had their arms and body open toward the person of the other race. Not doing this, and thus being very closed off, was considered the negative behavior."
